,Normal_Samples,Exponential_Samples,Bimodal_Samples
0,59.22,2.81,40.05
1,49.34,3.87,44.13
2,24.21,16.22,35.64
3,60.27,14.92,20.15
4,48.35,32.63,35.9
5,40.62,3.22,14.76
6,48.71,13.31,31.58
7,46.53,2.21,31.97
8,42.6,17.5,29.76
9,36.56,4.06,87.58
10,47.59,1.55,34.84
11,41.02,7.08,41.67
12,68.68,4.35,45.73
13,48.78,13.58,31.58
14,64.85,1.87,34.58
15,41.15,4.78,107.87
16,53.5,2.34,28.88
17,39.46,11.01,29.75
18,47.82,12.63,31.36
19,42.83,18.5,46.12
20,54.43,16.07,104.64
21,39.77,5.57,44.09
22,50.99,19.12,43.28
23,43.66,7.99,14.84
24,45.24,2.03,32.89
25,62.85,6.79,30.22
26,64.89,17.52,23.33
27,58.49,29.91,34.05
28,52.14,5.17,14.79
29,47.54,2.38,29.18
30,45.81,27.78,27.69
31,40.36,4.73,41.86
32,46.31,10.61,46.85
33,59.16,4.18,39.53
34,41.56,4.38,97.65
35,56.23,7.2,108.29
36,52.25,5.47,46.1
37,60.8,4.0,27.16
38,63.12,21.2,118.64
39,57.37,1.19,27.46
40,41.82,65.29,42.86
41,44.49,6.65,88.33
42,45.05,1.48,26.16
43,53.27,9.37,42.02
44,71.9,10.29,21.81
45,63.82,3.83,24.28
46,45.52,7.96,17.32
47,51.45,32.31,106.85
48,47.99,1.7,25.95
49,58.07,6.88,37.6
50,44.11,11.31,30.42
51,49.75,15.75,24.73
52,32.35,1.61,27.34
53,49.52,1.79,110.32
54,40.98,12.67,30.33
55,51.45,3.0,88.01
56,46.86,19.96,50.4
57,52.0,1.89,25.53
58,47.98,41.67,46.86
59,66.33,7.65,21.81
60,46.35,5.27,35.43
61,39.56,10.95,29.33
62,44.05,51.41,46.22
63,47.05,5.27,27.49
64,44.0,2.08,24.51
65,38.91,16.3,24.02
66,45.09,2.27,33.03
67,45.0,17.07,44.21
68,38.01,1.69,44.9
69,53.67,4.12,29.73
70,41.95,1.25,98.65
71,48.47,6.22,14.91
72,51.09,4.24,20.89
73,47.54,5.53,29.64
74,46.8,9.64,29.77
75,49.59,44.93,33.1
76,44.8,8.07,40.26
77,64.95,6.84,35.16
78,53.57,7.89,39.01
79,57.88,7.45,27.43
80,39.94,2.36,31.06
81,30.56,6.3,29.52
