,Normal_Samples,Exponential_Samples,Bimodal_Samples
0,43.7,4.07,32.2
1,41.15,5.53,33.39
2,46.71,8.68,20.36
3,60.41,3.68,111.68
4,64.52,19.64,37.37
5,46.67,6.65,29.42
6,56.94,1.98,25.57
7,56.91,4.62,28.54
8,41.73,40.93,20.58
9,40.03,5.32,38.25
10,42.99,30.46,25.48
11,56.54,10.6,26.91
12,51.58,1.96,105.69
13,46.48,10.13,36.33
14,26.84,5.01,27.21
15,63.04,9.65,31.64
16,44.53,7.17,31.13
17,44.72,2.02,10.36
18,42.37,2.73,25.87
19,55.39,16.81,25.3
20,51.77,6.85,106.45
21,54.04,5.45,31.91
22,31.99,42.03,26.81
23,70.21,55.62,22.63
24,46.62,3.72,89.69
25,52.25,2.46,31.84
26,58.73,7.89,103.74
27,33.75,1.02,29.7
28,52.56,10.9,27.14
29,73.27,4.39,29.76
30,40.61,18.95,23.86
31,43.01,5.91,105.49
32,48.3,7.19,27.98
33,46.86,13.5,32.14
34,52.02,15.02,122.4
35,46.67,3.28,29.28
36,48.68,14.34,30.88
37,58.2,16.81,32.31
38,58.48,19.58,108.89
39,63.71,18.59,15.33
40,57.99,14.68,24.43
41,55.92,4.97,28.7
42,37.85,8.29,25.24
43,47.09,5.18,5.5
44,44.78,20.63,89.62
45,37.39,7.9,27.46
46,70.35,19.0,107.99
47,51.74,19.97,39.96
48,46.44,11.52,32.24
49,48.34,9.46,96.17
50,70.02,22.1,27.39
51,60.02,13.67,26.43
52,50.14,6.51,22.61
53,60.94,6.36,26.63
54,40.57,2.72,21.72
55,32.31,2.8,33.64
56,53.3,3.32,14.7
57,67.91,7.22,26.97
58,40.89,11.55,98.84
59,43.41,2.66,91.91
60,37.36,10.07,29.05
61,46.5,6.35,37.13
62,67.39,1.43,27.26
63,50.39,8.26,42.42
64,50.72,3.23,36.14
65,29.9,9.72,110.13
66,30.36,7.72,15.53
67,52.92,19.81,20.48
68,56.33,5.44,111.41
69,57.35,1.37,18.33
70,71.28,1.42,20.46
71,42.26,5.31,6.86
72,48.83,14.94,33.2
73,51.25,4.16,39.9
74,40.14,13.43,3.54
75,57.47,7.14,30.19
76,56.69,28.36,33.68
77,61.32,16.3,23.45
78,49.04,7.0,28.32
79,58.3,2.75,29.04
80,40.47,7.67,14.61
81,62.83,8.67,24.14
82,48.87,11.94,42.72
83,51.22,13.14,18.34
84,55.14,7.32,27.3
85,46.31,13.54,42.71
86,61.48,2.43,37.92
87,54.33,12.16,37.55
88,64.76,21.31,28.38
89,64.7,16.51,38.67
90,51.6,16.13,27.35
